sample_ID,Sample_Name,Group_info
I1_S12_R1_001_merged.genes.results,I1,I
I2_S11_R1_001_merged.genes.results,I2,I
IC7_S7_R1_001_merged.genes.results,IC7,IC
IC8_S19_R1_001_merged.genes.results,IC8,IC
M1_S16_R1_001_merged.genes.results,M1,M
M2_S6_R1_001_merged.genes.results,M2,M
MC7_S17_R1_001_merged.genes.results,MC7,MC
MC8_S1_R1_001_merged.genes.results,MC8,MC
